243,608,459
212,911,647
140,243,362
636,590,186
844,443,588
892,249,291
406,182,837
53,631,901
108,226,893
861,305,677
88,380,646
826,836,641
301,33,151
200,302,29
134,713,524
858,720,380
500,52,236
626,604,841
912,203,809
643,663,932
761,636,87
799,565,881
233,168,189
952,694,226
685,963,829
498,710,210
853,163,572
494,317,994
839,414,477
522,849,999
852,597,97
891,366,969
541,874,867
125,919,336
647,818,54
972,783,213
273,541,465
613,402,903
672,353,563
968,53,542
680,47,979
133,501,797
879,963,341
423,298,315
142,906,518
374,655,516
248,668,550
861,740,935
703,302,648
422,326,739
746,652,924
264,76,750
296,385,370
760,712,353
86,381,615
575,480,808
905,993,351
513,99,36
643,817,819
692,348,376
854,853,434
108,34,414
891,216,331
150,53,443
628,525,821
649,297,483
210,471,798
526,783,533
744,294,106
624,269,368
891,843,612
66,898,779
401,18,568
623,520,564
700,546,411
537,617,974
871,685,436
47,494,336
126,285,381
851,168,761
11,963,997
269,370,490
489,196,247
744,972,191
125,959,909
240,104,622
938,378,538
617,676,281
770,489,411
444,681,821
574,447,994
433,286,442
991,304,458
617,759,140
895,689,757
29,396,21
100,79,763
563,505,741
429,965,27
631,424,826
377,128,617
630,933,906
439,627,519
104,341,375
822,648,639
286,263,536
359,739,292
823,147,535
836,10,701
244,994,423
165,69,761
466,550,556
1,768,10
458,999,507
477,549,521
663,452,2
418,950,289
835,871,877
351,894,760
428,969,387
319,708,46
589,244,960
599,759,652
303,265,132
53,411,592
182,304,100
972,363,617
119,176,952
414,20,29
252,543,282
830,997,548
428,308,255
310,514,103
654,235,22
692,17,685
104,393,589
985,827,944
142,787,91
709,479,795
469,338,736
96,701,95
295,394,283
155,506,41
597,752,552
672,383,326
366,467,34
105,570,648
247,624,258
628,106,44
442,966,72
506,434,593
773,424,973
685,646,321
531,230,726
783,59,783
309,823,475
227,954,343
142,988,183
814,427,712
915,446,396
49,577,491
271,979,866
994,24,315
942,366,548
709,344,179
661,424,156
363,872,999
623,537,552
176,611,411
470,373,329
132,656,497
961,575,4
683,86,540
898,26,206
40,772,955
638,971,431
792,224,335
851,882,366
479,428,59
134,883,121
898,757,493
764,42,748
97,217,142
791,992,346
427,906,819
157,90,764
789,253,453
635,346,961
224,394,215
275,911,955
261,29,309
123,734,449
116,94,745
486,274,447
979,577,1000
344,990,963
454,234,161
511,280,544
13,937,197
689,890,707
854,323,766
930,973,11
1000,445,259
